Porosity,Permeability_1,Permeability_2,Permeability_3,Error
1.431943e-01,3.987728e-13,2.176840e-13,2.651629e-13,2.026773e-04
2.792296e-01,8.049277e-14,3.104961e-13,5.200070e-13,1.579967e-05
1.343693e-01,9.326915e-14,4.359008e-13,4.579068e-13,4.442341e-05
2.276866e-01,6.982214e-13,5.298080e-13,3.166720e-13,5.055068e-04
2.883493e-01,5.717009e-13,4.592055e-13,1.723642e-13,4.398481e-04
1.751076e-01,7.693605e-13,6.280022e-13,2.464211e-13,4.927363e-04
1.064205e-01,8.391157e-13,6.240029e-13,3.580499e-13,5.124107e-04
1.094414e-01,7.396286e-14,7.079946e-13,5.764699e-13,6.033799e-05
1.271160e-01,4.755025e-13,5.238026e-14,8.143374e-13,2.600422e-04
2.947060e-01,9.039314e-13,6.664221e-13,4.539533e-13,7.483818e-04
2.274431e-01,7.584099e-13,9.396266e-13,3.157106e-13,5.566873e-04
1.335687e-01,1.999451e-13,5.552018e-13,9.166628e-13,7.444428e-05
1.378561e-01,6.956782e-13,2.328682e-13,2.980711e-13,4.083809e-04
1.507832e-01,2.559919e-13,2.498561e-13,4.337486e-13,1.060644e-04
1.816872e-01,7.597737e-13,9.710024e-13,1.132682e-13,5.034515e-04
2.117191e-01,8.723091e-13,5.640421e-13,3.728949e-13,6.312531e-04
1.903744e-01,4.306436e-13,9.567422e-13,6.804369e-14,2.573708e-04
2.825007e-01,4.839654e-13,6.583512e-13,1.482302e-13,3.585389e-04
1.545370e-01,3.118516e-13,2.148722e-13,4.881088e-13,1.481962e-04
1.087968e-01,7.220401e-13,2.079878e-13,4.025579e-13,4.299407e-04
2.024599e-01,5.890246e-13,4.180356e-13,2.401334e-13,3.860902e-04
1.695824e-01,7.560405e-13,8.110156e-13,6.146808e-13,4.782737e-04
1.046799e-01,7.588254e-13,8.168745e-13,4.608892e-13,4.608493e-04
1.479978e-01,5.565433e-13,6.572866e-13,8.818410e-13,3.121000e-04
